x,r
38.51857067,33.11776473
38.81436462,33.22299192
39.11024044,33.32798868
39.40619797,33.4327549
39.70223704,33.53729049
39.99835749,33.64159533
40.29455915,33.74566934
40.59084185,33.8495124
40.88720543,33.95312442
41.18364973,34.05650529
41.48017456,34.15965492
41.77677977,34.26257321
42.07346518,34.36526005
42.37023064,34.46771536
42.66707597,34.56993903
42.964001,34.67193096
43.26100556,34.77369106
43.55808948,34.87521923
43.8552526,34.97651538
44.15249475,35.07757941
44.44981575,35.17841123
44.74721543,35.27901074
45.04469363,35.37937785
45.34225017,35.47951247
45.63988488,35.5794145
45.93759759,35.67908385
46.23538813,35.77852044
46.53325632,35.87772417
46.83120201,35.97669494
47.129225,36.07543268
47.42732513,36.17393729
47.72550223,36.27220868
48.02375612,36.37024677
48.32208664,36.46805146
48.62049359,36.56562268
48.91897683,36.66296032
49.21753615,36.76006432
49.51617141,36.85693458
49.81488241,36.95357102
50.11366899,37.04997355
50.41253096,37.14614209
50.71146816,37.24207655
51.01048041,37.33777687
51.30956753,37.43324294
51.60872935,37.5284747
51.90796569,37.62347205
52.20727637,37.71823493
52.50666121,37.81276324
52.80612005,37.90705692
53.1056527,38.00111587
53.40525898,38.09494003
53.70493872,38.18852932
54.00469174,38.28188366
54.30451786,38.37500297
54.60441691,38.46788717
54.9043887,38.5605362
55.20443305,38.65294997
55.50454979,38.74512842
55.80473874,38.83707147
56.10499971,38.92877904
56.40533254,39.02025106
56.70573703,39.11148747
57.00621301,39.20248818
57.30676029,39.29325314
57.60737871,39.38378226
57.90806807,39.47407549
58.2088282,39.56413274
58.50965891,39.65395396
58.81056002,39.74353907
59.11153135,39.832888
59.41257273,39.9220007
59.71368396,40.01087709
60.01486487,40.0995171
60.31611527,40.18792068
60.61743498,40.27608776
60.91882382,40.36401827
61.22028161,40.45171215
61.52180815,40.53916934
61.82340328,40.62638977
62.1250668,40.71337339
62.42679853,40.80012013
62.72859829,40.88662994
63.0304659,40.97290275
63.33240116,41.0589385
63.6344039,41.14473713
63.93647392,41.23029859
64.23861106,41.31562282
64.54081511,41.40070976
64.8430859,41.48555936
65.14542324,41.57017156
65.44782695,41.6545463
65.75029683,41.73868353
66.05283271,41.8225832
66.35543439,41.90624524
66.6581017,41.98966962
66.96083444,42.07285628
67.26363242,42.15580515
67.56649547,42.23851621
67.8694234,42.32098938
68.17241601,42.40322463
68.47547313,42.4852219
68.77859455,42.56698115
69.08178011,42.64850233
69.3850296,42.72978538
69.68834284,42.81083027
69.99171965,42.89163694
70.29515983,42.97220535
70.59866319,43.05253546
70.90222956,43.13262721
71.20585873,43.21248058
71.50955053,43.2920955
71.81330476,43.37147194
72.11712123,43.45060986
72.42099976,43.52950922
72.72494015,43.60816997
73.02894222,43.68659207
73.33300578,43.76477549
73.63713063,43.84272018
73.94131659,43.9204261
74.24556347,43.99789322
74.54987107,44.07512151
74.85423922,44.15211091
75.15866771,44.2288614
75.46315635,44.30537294
75.76770497,44.3816455
76.07231336,44.45767904
76.37698133,44.53347352
76.6817087,44.60902892
76.98649527,44.6843452
77.29134086,44.75942232
77.59624526,44.83426026
77.9012083,44.90885899
78.20622977,44.98321847
78.51130949,45.05733868
78.81644727,45.13121958
79.12164291,45.20486115
79.42689622,45.27826336
79.73220702,45.35142618
80.0375751,45.42434958
80.34300027,45.49703354
80.64848235,45.56947804
80.95402114,45.64168304
81.25961645,45.71364853
81.56526809,45.78537447
81.87097586,45.85686085
82.17673957,45.92810764
82.48255903,45.99911483
82.78843405,46.06988238
83.09436443,46.14041029
83.40034997,46.21069852
83.7063905,46.28074705
84.01248581,46.35055588
84.3186357,46.42012498
84.62484,46.48945433
84.93109849,46.55854392
85.237411,46.62739373
85.54377733,46.69600374
85.85019727,46.76437393
86.15667065,46.8325043
86.46319726,46.90039482
86.76977691,46.96804549
87.07640941,47.03545629
87.38309456,47.10262721
87.68983217,47.16955824
87.99662204,47.23624936
88.30346399,47.30270056
88.61035781,47.36891184
88.91730332,47.43488318
89.22430031,47.50061458
89.5313486,47.56610602
89.83844799,47.63135751
90.14559828,47.69636902
90.45279928,47.76114056
90.7600508,47.82567212
91.06735264,47.88996369
91.37470461,47.95401527
91.68210651,48.01782686
91.98955814,48.08139845
92.29705932,48.14473003
92.60460984,48.20782161
92.91220952,48.27067319
93.21985815,48.33328476
93.52755555,48.39565631
93.83530151,48.45778786
94.14309585,48.51967941
94.45093836,48.58133094
94.75882886,48.64274247
95.06676715,48.703914
95.37475302,48.76484552
95.6827863,48.82553705
95.99086677,48.88598859
96.29899426,48.94620014
96.60716855,49.00617171
96.91538946,49.0659033
97.2236568,49.12539492
97.53197035,49.18464657
97.84032994,49.24365827
98.14873537,49.30243002
98.45718643,49.36096183
98.76568295,49.41925372
99.07422471,49.47730568
99.38281152,49.53511773
99.69144319,49.59268989
100,49.65
