Engine x,Engine y,Channel width,Rib width,Channel height,Chamber wall thickness,Channel area
-0.1586818984,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15842995869999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1581780191,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15792607949999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1576741398,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1574222002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15717026050000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1569183209,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15666638119999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1564144416,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15616250199999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1559105623,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1556586227,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.155406683,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1551547434,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15490280369999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1546508641,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1543989244,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15414698480000003,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1538950452,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1536431055,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.15339116590000001,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1531392262,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1528872866,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1526353469,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
